X,Y,OBJECTID,INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_YEAR,REPORTING_DISTRICT,INCIDENT_LOCATION,CITY,STATE,ZIP,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
-118.297996893,33.949719761,1,1000045,ANIMAL SHOOTING INCIDENT,2010/01/01 02:57:00+00,2010,0371,1300 94TH STREET,LOS ANGELES,CA,90044,LNX,LENNOX STATION,,,1,,,,33.9497197607,-118.2979968927
-118.062002298,34.528218544,2,1000044,ANIMAL SHOOTING INCIDENT,2010/01/01 21:00:00+00,2010,2603,BARRELL SPRINGS ROAD AND 37TH STREET EAST,PALMDALE,CA,93550,PLM,PALMDALE STN,,,1,,,,34.5282185437,-118.0620022978
-118.117001468,34.704138599,3,1000046,ANIMAL SHOOTING INCIDENT,2010/01/06 09:30:00+00,2010,2619,700 E. AVENUE H-13,LANCASTER,CA,93535,PLM,PALMDALE STN,,,1,,,,34.7041385989,-118.1170014683
-117.972010339,34.0029772250001,4,1000047,ANIMAL SHOOTING INCIDENT,2010/01/12 10:50:00+00,2010,1476,1700 KWIS AVENUE,CITY OF INDUSTRY,CA,91744,IDT,INDUSTRY STN,,,1,,,,34.0029772253,-117.9720103393
-118.290284695,33.81700055,5,1000048,ANIMAL SHOOTING INCIDENT,2010/01/14 10:09:59+00,2010,1697,900 BELSON STREET,TORRANCE,CA,90502,CSN,CARSON STN,,,1,,,,33.8170005496,-118.2902846949
-118.206144173,33.9501998470001,6,1000016,ANIMAL SHOOTING INCIDENT,2010/01/14 11:39:59+00,2010,2199,9200 CALIFORNIA AVENUE,SOUTH GATE,CA,90280,CEN,CENTURY STN,,,1,,,,33.9501998467,-118.2061441729
-118.567035217,34.4209261780001,7,1000017,ANIMAL SHOOTING INCIDENT,2010/01/20 21:49:59+00,2010,0645,24900 MAGIC MOUNTAIN PARKWAY,VALENCIA,CA,91355,SCV,SANTA CLARITA VALLEY STN,,,1,,,,34.4209261777,-118.567035217
-117.657549119,34.4252419320001,8,1000018,ANIMAL SHOOTING INCIDENT,2010/03/22 18:30:00+00,2010,2699,YUCCA TERRACE AND CAUGHLIN ROAD,PHELAN,CA,92371,PLM,PALMDALE STN,,,1,,,,34.4252419315,-117.6575491195
-118.227007615,33.884249487,9,1000019,ANIMAL SHOOTING INCIDENT,2010/04/03 16:09:59+00,2010,2836,1200 S. OLEANDER AVENUE,COMPTON,CA,90220,COM,COMPTON STN,,,1,,,,33.8842494867,-118.2270076152
-118.218999681,33.9069806380001,10,1000020,ANIMAL SHOOTING INCIDENT,2010/04/05 03:30:00+00,2010,2021,1700 N. SPRING AVENUE,COMPTON,CA,90221,COM,COMPTON STN,,,1,,,,33.9069806379,-118.2189996813
